Ano,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
1981,24.771344240799998,48.7147201641,13.7401474296,16.864253309200002,36.5354060814,42.4530465176,11.212273281199998,22.4978283485,24.408604060300004,45.9112246485,22.4457805209,19.8685216719,24.916686276100002,15.0332229224,43.890377684499995,39.980833312899996,50.418873544600004,20.2877209052,11.707654856300001,41.6341355349,20.128014005,9.138270909600001,12.8302479514,12.9116379737,39.6709392889,12.5233519178,
1982,20.6824206334,53.1850562099,16.2321336583,12.843549638599999,36.971874716900004,44.3859309618,9.9027213942,25.0098424353,24.515373731700002,47.265995836,23.1059756915,20.3678956057,27.4652912936,13.8634914901,40.8219539034,38.4928019741,54.5762963658,20.868584584100002,11.6059735139,39.4949887903,19.557071718,13.3839605301,13.0326315093,13.646692314800001,45.43504814479999,12.7408258078,
1983,20.8236726855,51.49108128859999,10.814711391800001,13.890301631400002,35.2781368166,42.9798662671,10.6112228285,21.918142244000002,22.7884130658,47.2424228068,21.319956918,17.8562911275,24.7667737509,13.3164571047,41.4666710895,37.6995257075,52.445823510299995,19.9464460285,10.601789186900001,42.3846361298,14.922801955299999,5.6856828088,12.622267696,10.7953356,40.2186822153,11.785755310999999,
1984,20.9645186833,51.779179498999994,11.525739008199999,13.9392371497,34.6399485684,43.0371987595,10.1915755589,21.635366171799998,21.6197309967,43.843360356800005,20.2912074214,17.366684376800002,23.2573522944,14.3954410964,39.5858879177,37.4268751233,50.651373334300004,18.255010774400002,10.7429107274,39.5656734275,13.264553566400002,9.1461594812,12.520865273900002,11.3526388507,40.969007785900004,11.6889147945,
1985,22.012728245999998,50.541485352799995,10.7354910749,12.7792640363,35.9099582002,40.9108269618,10.9396599961,20.9180028618,20.6659163696,43.9169497918,19.8665780119,15.7385442022,21.3225814174,11.959764129100002,38.913268895,36.509402029600004,50.038794824700005,17.3466114383,10.1100573683,40.155872901500004,13.389100552999999,7.023060796599999,11.254617874600001,10.950922336500001,39.2265163808,10.876103072200001,
1986,20.0382093003,49.338493413100004,10.386775074800001,6.115665544700001,34.2580573908,37.8897725166,9.0931718057,19.312722254,20.6201901415,44.2290838207,18.4789846165,15.7579447854,22.3688069602,13.5706292399,39.6418213924,35.493614733899996,48.6199255458,18.292111781099997,9.659201514,38.128307639,8.0113423808,4.1710133458,10.704186367,10.5921102474,43.7587766397,10.7744628761,
1987,18.6022626976,45.3687759942,12.2732020179,8.3412012492,32.8749881839,40.0572655813,8.080418442400001,19.9176725794,19.819628323699998,44.4332597436,19.1377730894,15.4599828151,21.552764602199996,13.6051943731,37.718073258000004,35.8223534954,47.681073524300004,16.2504946577,9.7991599895,40.0656701633,13.9018216779,5.7403701851,10.7730824123,8.8098342473,39.8752968004,9.9919663259,
1988,15.5169855056,43.827070290900004,11.0682737512,8.8712609486,32.3319362321,37.2427216337,7.9984410417,20.7243626216,18.2499341869,43.0152531768,18.0621076353,17.5352617964,22.433393640100004,13.2215448842,37.1219573419,33.0298158711,44.335038627399996,15.5338407376,9.5641247098,36.6658884425,13.316371166500002,8.9212177193,10.5955768381,11.546560669100002,38.8444846315,9.5672177349,
1989,20.8091493924,43.6160548738,10.954596829000002,12.2136179433,32.408202167,38.766225905,9.109928176,19.278181965799998,19.3193426545,40.4629799671,17.3353908278,15.072146776099999,19.6467229097,13.6898348948,37.0812041909,33.3914572972,44.0422728714,15.0242995143,9.217094913,36.4928658005,12.1996780329,9.3630891813,10.889342071700002,9.1119223924,36.8508506964,10.1317119897,
1990,21.4340184135,43.641072010100004,9.5066572548,13.7708734947,33.176801351900004,38.6017333478,8.6014127144,18.773984694,19.143915992,39.186071903,16.2086931376,15.087691448800001,19.9316735913,13.1210964388,38.2315705952,33.2219670743,41.1200634252,14.5698292392,9.5540703577,36.5381879373,13.218515701400001,9.957395009099999,9.735324414099999,10.4396835537,36.493782288,9.163841191,
1992,14.6125406317,35.8816641544,9.088361535,12.3001573537,31.232693571,34.5904750085,8.897636687,17.8457418833,16.398712188399998,35.5387231187,16.19268872,13.8743059514,15.8786727706,14.0550431726,35.5663806504,30.9985262534,37.0391436036,12.903952202300001,8.2769391391,30.318937986599998,10.6036220187,9.712570373,8.600311745900001,8.8140247443,27.3471439269,8.894618060900001,27.898423046399998
