Time[s],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],COPx[cm],COPy[cm]
0.01,-1.449973,-4.580058999999999,534.224607,2.0399540000000003,41.276185,-0.781998,-7.726373,0.381853
0.02,-1.445906,-4.584679,534.250576,2.056195,41.284251,-0.7759590000000001,-7.727507000000001,0.384875
0.03,-1.4430290000000001,-4.592980000000001,534.2838820000001,2.065878,41.294939,-0.771576,-7.729025999999999,0.38666300000000003
0.04,-1.441916,-4.608147,534.32907,2.0646240000000002,41.309332,-0.769796,-7.731066,0.386396
0.05,-1.442134,-4.632239,534.383315,2.051648,41.326251,-0.770612,-7.733447,0.38392800000000005
0.06,-1.442237,-4.665337999999999,534.438222,2.029939,41.342619,-0.773159,-7.735714999999999,0.379827
0.07,-1.440202,-4.704779,534.485358,2.005216,41.354690000000005,-0.776163,-7.737291,0.375168
0.08,-1.434293,-4.74514,534.522403,1.984015,41.359526,-0.778539,-7.737660000000001,0.371175
0.09,-1.424101,-4.7795760000000005,534.555648,1.971627,41.356066999999996,-0.7798470000000001,-7.736532,0.36883499999999997
0.1,-1.411125,-4.802269,534.596737,1.970605,41.345381,-0.780396,-7.733938,0.368615
0.11,-1.398342,-4.810804,534.6556059999999,1.980357,41.330028999999996,-0.780984,-7.730214999999999,0.370399
0.12,-1.388859,-4.806908,534.7339599999999,1.9978310000000001,41.312775,-0.782432,-7.725855999999999,0.373612
0.13,-1.3843860000000001,-4.795005000000001,534.822651,2.018846,41.295162,-0.785181,-7.721280999999999,0.37748000000000004
0.14,-1.384379,-4.779616000000001,534.903736,2.039475,41.276596999999995,-0.7891130000000001,-7.716639999999999,0.381279
0.15,-1.386115,-4.763346,534.9562559999999,2.056975,41.254478000000006,-0.79366,-7.711747999999999,0.384513
0.16,-1.385453,-4.746418,534.963787,2.070105,41.225418,-0.7981060000000001,-7.706207000000001,0.386962
0.17,-1.37796,-4.727543,534.920789,2.078955,41.187028999999995,-0.801955,-7.69965,0.38864699999999996
0.18,-1.360174,-4.705271,534.834647,2.084547,41.139359999999996,-0.805187,-7.6919770000000005,0.389755
0.19,-1.330771,-4.679141,534.722783,2.0883990000000003,41.085215000000005,-0.808245,-7.683461,0.39055700000000004
0.2,-1.291087,-4.650228,534.607483,2.092151,41.029123,-0.811722,-7.674625999999999,0.391343
0.21,-1.244513,-4.620987,534.511399,2.097255,40.975521,-0.8159390000000001,-7.665977000000001,0.392369
0.22,-1.194825,-4.594475,534.454025,2.104806,40.927032000000004,-0.820708,-7.657727,0.39382399999999995
0.23,-1.144312,-4.5732550000000005,534.447942,2.115527,40.883565999999995,-0.8254090000000001,-7.649682,0.395834
0.24,-1.092595,-4.558467,534.495261,2.129786,40.842490000000005,-0.8292959999999999,-7.641319,0.398467
0.25,-1.03667,-4.549588,534.586099,2.147561,40.799631,-0.8318200000000001,-7.632003999999999,0.40172399999999997
0.26,-0.9722040000000001,-4.545093,534.699882,2.168291,40.750791,-0.832866,-7.621246000000001,0.405515
0.27,-0.895699,-4.543621,534.808841,2.1907080000000003,40.693434,-0.832808,-7.608967999999999,0.409624
0.28,-0.806715,-4.5449019999999996,534.883658,2.212787,40.628121,-0.8323729999999999,-7.595692999999999,0.413695
0.29,-0.709216,-4.549799,534.901662,2.231977,40.559165,-0.8323200000000001,-7.582546000000001,0.41726899999999995
0.3,-0.611332,-4.559476,534.8560209999999,2.245775,40.494052,-0.833038,-7.571019000000001,0.41988400000000003
0.31,-0.523511,-4.5743540000000005,534.761767,2.252503,40.441646,-0.8342629999999999,-7.5625539999999996,0.421216
0.32,-0.455791,-4.59359,534.654349,2.25188,40.409683,-0.835082,-7.558095,0.421184
0.33,-0.41535299999999997,-4.615325,534.5793610000001,2.244997,40.402414,-0.834291,-7.557795,0.41995600000000005
0.34,-0.405265,-4.637322,534.576238,2.233581,40.419282,-0.8309559999999999,-7.560995,0.41782299999999994
0.35,-0.42464700000000005,-4.6573709999999995,534.662175,2.218958,40.455172,-0.824839,-7.566492,0.41502100000000003
0.36,-0.469718,-4.673258000000001,534.823766,2.20148,40.502246,-0.816439,-7.573008,0.411627
0.37,-0.5350090000000001,-4.682619,535.0212339999999,2.180886,40.552677,-0.806685,-7.579639,0.40762600000000004
0.38,-0.614247,-4.683193,535.2042240000001,2.157361,40.60119,-0.79652,-7.586112,0.403091
0.39,-0.700871,-4.673568,535.331859,2.132444,40.646355,-0.786623,-7.592739999999999,0.398341
0.4,-0.7883899999999999,-4.6539459999999995,535.3876230000001,2.109006,40.690151,-0.777349,-7.600128999999999,0.393921
0.41,-0.870872,-4.626352,535.382793,2.090255,40.736144,-0.768824,-7.6087880000000006,0.390423
0.42,-0.943685,-4.594203,535.348215,2.078407,40.787290999999996,-0.7610819999999999,-7.618834,0.388235
0.43,-1.0041959999999999,-4.5616650000000005,535.319066,2.073763,40.844445,-0.754167,-7.629925,0.387388
0.44,-1.051858,-4.533157,535.318814,2.0745310000000003,40.906028000000006,-0.748201,-7.641433,0.38753200000000004
0.45,-1.0874110000000001,-4.512917,535.347843,2.077309,40.968574,-0.743412,-7.652702000000001,0.38803000000000004
0.46,-1.1115700000000002,-4.504329,535.381046,2.078034,41.027568,-0.7401340000000001,-7.663246000000001,0.38814099999999996
0.47,-1.124056,-4.509076,535.376302,2.073188,41.078237,-0.73874,-7.672778,0.387239
0.48,-1.123677,-4.526578,535.291404,2.060954,41.116327000000005,-0.739471,-7.6811110000000005,0.385015
0.49,-1.109564,-4.554053,535.102227,2.041852,41.138958,-0.74217,-7.688056,0.38158200000000003
0.5,-1.0828229999999999,-4.587123,534.81378,2.018521,41.145396999999996,-0.746075,-7.6934059999999995,0.377425
0.51,-1.0474940000000001,-4.620565,534.459738,1.9947,41.137407,-0.749861,-7.697008,0.373218
0.52,-1.010152,-4.648994,534.0921900000001,1.973897,41.119,-0.752049,-7.698858,0.36958
0.53,-0.9783629999999999,-4.667711,533.767187,1.9583549999999998,41.095751,-0.75162,-7.69919,0.36689299999999997
0.54,-0.958843,-4.673977,533.5316730000001,1.9487290000000002,41.073954,-0.7484649999999999,-7.698503,0.36525100000000005
0.55,-0.95609,-4.668481,533.4153230000001,1.944459,41.059765000000006,-0.743359,-7.6975229999999994,0.36453
0.56,-0.971842,-4.6561639999999995,533.428267,1.9443970000000002,41.058287,-0.737445,-7.697058999999999,0.364509
0.57,-1.005212,-4.645461,533.56333,1.947209,41.072618,-0.731568,-7.697796,0.364944
0.58,-1.0531979999999999,-4.645747,533.799875,1.9513790000000002,41.103111,-0.72587,-7.700098,0.365564
0.59,-1.111365,-4.663718,534.106898,1.9551040000000002,41.147271999999994,-0.719849,-7.703939,0.366051
0.6,-1.174712,-4.700219000000001,534.4449139999999,1.9565299999999999,41.200453,-0.712784,-7.7090179999999995,0.366086
0.61,-1.238581,-4.749013,534.7679059999999,1.954466,41.257106,-0.704252,-7.714956,0.365479
0.62,-1.299176,-4.798351,535.0274009999999,1.949229,41.312104999999995,-0.694447,-7.721493,0.364323
0.63,-1.353379,-4.835083,535.180453,1.9429400000000001,41.361696,-0.6842159999999999,-7.7285509999999995,0.363044
0.64,-1.398249,-4.849730999999999,535.201048,1.938838,41.403909000000006,-0.674828,-7.736141,0.362263
0.65,-1.4310260000000001,-4.840244,535.0906719999999,1.939831,41.43849,-0.667636,-7.7442,0.36252399999999996
0.66,-1.449969,-4.812599,534.8815089999999,1.9470560000000001,41.466640999999996,-0.663723,-7.752491,0.364016
0.67,-1.455394,-4.778013,534.628417,1.9592169999999998,41.490838000000004,-0.6636270000000001,-7.760687,0.366463
0.68,-1.450058,-4.748177,534.392146,1.972984,41.514705,-0.6671819999999999,-7.768584,0.369202
0.69,-1.4386370000000002,-4.730707,534.221513,1.984128,41.542695,-0.673511,-7.776305000000001,0.371406
0.7,-1.426662,-4.726803,534.1423530000001,1.9888430000000001,41.579342,-0.6811659999999999,-7.784317999999999,0.372343
0.71,-1.4193440000000002,-4.731909,534.15629,1.984837,41.628182,-0.688454,-7.793259,0.371584
0.72,-1.420455,-4.738691,534.2466099999999,1.971986,41.690692999999996,-0.693928,-7.803642,0.369115
