Ano,Mês,Inflação-IGP-DI-(% a.m.)
1944,02,1.45
1944,03,1.43
1944,04,1.41
1944,05,1.39
1944,06,1.37
1944,07,1.35
1944,08,1.33
1944,09,1.32
1944,10,2.6
1944,11,2.53
1944,12,0.0
1945,01,1.23
1945,02,2.44
1945,03,-1.19
1945,04,0.0
1945,05,1.2
1945,06,1.19
1945,07,1.18
1945,08,1.16
1945,09,0.0
1945,10,1.15
1945,11,1.14
1945,12,1.12
1946,01,1.11
1946,02,1.1
1946,03,1.09
1946,04,1.08
1946,05,1.06
1946,06,3.16
1946,07,2.04
1946,08,4.0
1946,09,2.88
1946,10,0.93
1946,11,0.93
1946,12,0.92
1947,01,3.64
1947,02,0.88
1947,03,0.87
1947,04,-2.59
1947,05,-0.88
1947,06,-0.89
1947,07,-1.8
1947,08,0.0
1947,09,0.92
1947,10,0.0
1947,11,0.91
1947,12,1.8
1948,01,2.65
1948,02,2.59
1948,03,1.68
1948,04,-0.83
1948,05,-0.83
1948,06,0.84
1948,07,-0.83
1948,08,0.84
1948,09,0.0
1948,10,0.0
1948,11,0.83
1948,12,0.83
1949,01,1.64
1949,02,0.81
1949,03,0.0
1949,04,0.0
1949,05,0.0
1949,06,0.0
1949,07,0.8
1949,08,0.79
1949,09,0.79
1949,10,2.34
1949,11,4.58
1949,12,0.0
1950,01,1.46
1950,02,0.0
1950,03,-2.16
1950,04,-0.74
1950,05,0.74
1950,06,0.74
1950,07,2.19
1950,08,2.86
1950,09,2.78
1950,10,2.7
1950,11,0.0
1950,12,1.32
1951,01,3.25
1951,02,1.26
1951,03,1.21
1951,04,1.21
1951,05,1.2
1951,06,-1.18
1951,07,-2.4
1951,08,1.23
1951,09,0.61
1951,10,1.81
1951,11,0.59
1951,12,1.76
1952,01,3.47
1952,02,1.68
1952,03,0.0
1952,04,0.0
1952,05,0.55
1952,06,0.55
1952,07,1.63
1952,08,0.53
1952,09,-0.53
1952,10,0.53
1952,11,2.66
1952,12,1.04
1953,01,1.03
1953,02,2.51
1953,03,2.51
1953,04,0.0
1953,05,-0.49
1953,06,1.48
1953,07,1.94
1953,08,3.81
1953,09,1.38
1953,10,2.71
1953,11,1.32
1953,12,2.17
1954,01,2.93
1954,02,2.48
1954,03,1.93
1954,04,3.79
1954,05,1.83
1954,06,1.35
1954,07,1.33
1954,08,0.87
1954,09,2.6
1954,10,0.42
1954,11,2.1
1954,12,1.65
1955,01,1.62
1955,02,0.0
1955,03,0.8
1955,04,1.98
1955,05,0.0
1955,06,0.0
1955,07,1.16
1955,08,1.92
1955,09,2.26
1955,10,1.1
1955,11,0.36
1955,12,0.36
1956,01,1.81
1956,02,2.84
1956,03,1.38
1956,04,0.34
1956,05,3.05
1956,06,2.96
1956,07,1.6
1956,08,1.89
1956,09,3.4
1956,10,1.49
1956,11,1.18
1956,12,0.29
1957,01,4.35
1957,02,0.0
1957,03,-0.28
1957,04,-0.28
1957,05,-0.28
1957,06,0.0
1957,07,0.28
1957,08,0.56
1957,09,-0.28
1957,10,0.28
1957,11,1.11
1957,12,1.37
1958,01,1.36
1958,02,0.53
1958,03,1.33
1958,04,1.31
1958,05,1.81
1958,06,0.25
