Time[s],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],COPx[cm],COPy[cm]
0.01,-1.919034,-4.571088,535.434951,3.162207,39.573486,-0.730428,-7.390905,0.590587
0.02,-1.879878,-4.460744,535.388657,3.188683,39.489794,-0.736319,-7.375912,0.595583
0.03,-1.826901,-4.361212,535.357865,3.216085,39.405791,-0.742518,-7.360645,0.600736
0.04,-1.751454,-4.280243,535.344141,3.244572,39.321156,-0.749198,-7.345024,0.606072
0.05,-1.653044,-4.221079,535.333173,3.273691,39.23567,-0.756347,-7.329206,0.611524
0.06,-1.53949,-4.183145,535.301874,3.302977,39.149408,-0.763613,-7.31352,0.617031
0.07,-1.424003,-4.163989,535.231749,3.332362,39.062854,-0.770297,-7.298307,0.622602
0.08,-1.320426,-4.160806,535.12045,3.36188,38.976895,-0.775623,-7.283761,0.628247
0.09,-1.23857,-4.170454,534.985429,3.390903,38.892774,-0.779145,-7.269875,0.633831
0.1,-1.181374,-4.188378,534.858277,3.417662,38.812011,-0.781016,-7.256504,0.638985
0.11,-1.144779,-4.207929,534.772625,3.439575,38.736198,-0.781913,-7.243489,0.643184
0.12,-1.120138,-4.221278,534.7511,3.454233,38.666589,-0.782649,-7.230764,0.645952
0.13,-1.097945,-4.221717,534.797084,3.460455,38.603671,-0.7837,-7.218377,0.647059
0.14,-1.071232,-4.20604,534.894207,3.458827,38.546996,-0.784886,-7.206471,0.646638
0.15,-1.037407,-4.175614,535.012744,3.451556,38.495478,-0.785403,-7.195245,0.645135
0.16,-0.998118,-4.135667,535.119879,3.441788,38.448002,-0.784204,-7.184932,0.643181
0.17,-0.957536,-4.093356,535.190475,3.43277,38.404093,-0.780544,-7.17578,0.641411
0.18,-0.920067,-4.055593,535.214955,3.427185,38.364373,-0.774393,-7.168031,0.640338
0.19,-0.888692,-4.027422,535.201303,3.426843,38.330637,-0.76649,-7.16191,0.64029
0.2,-0.864652,-4.011286,535.170233,3.432652,38.305471,-0.75799,-7.157624,0.641413
0.21,-0.848265,-4.007152,535.145957,3.444686,38.291501,-0.749927,-7.155338,0.643691
0.22,-0.840037,-4.013246,535.147116,3.46222,38.290533,-0.742806,-7.155141,0.646966
0.23,-0.841263,-4.026948,535.181598,3.483768,38.302868,-0.736519,-7.156985,0.650951
0.24,-0.853839,-4.045376,535.246246,3.507162,38.327027,-0.730595,-7.160634,0.655243
0.25,-0.879477,-4.065573,535.33,3.529704,38.359981,-0.724578,-7.16567,0.659351
0.26,-0.918848,-4.08458,535.418202,3.548476,38.397802,-0.718296,-7.171553,0.662748
