Produto,Fabricante,Qtd,Medida,Preço,Supermercado,Data
Suco,ValeSuco,1,l,3.00,Arpoador,12/05/2011
Suco,Flash,1,l,4.50,Arpoador,18/05/2011
Tomate, - ,1,kg,3.50,Noite,14/05/2011
Arroz,Tio José,4,kg,8.64,Noite,14/05/2011
Arroz,Sem Broto,5,kg,9.99,Arpoador,10/06/2011
Arroz,Da TV,1,kg,1.99,Noite,14/06/2011
Feijão,Sem Broto,1,kg,4.00,Arpoador,12/05/2011
Tomate, - ,1,kg,2.99,Noite,16/05/2011
Ovo,A Granja,12,u,3.19,Arpoador,12/06/2011
Ovo,Caseiro,6,u,1.45,Noite,14/05/2011
Suco,Flash,1,l,3.99,Noite,21/07/2011
