Title,Date
"The Crown: Temporada 4: O teste de Balmoral","06/03/2021"
"The Crown: Temporada 4: Guarda-costas","05/03/2021"
"A Guerra dos Samurais: Temporada 1: A ascensão de Nobunaga","02/03/2021"
"Professor Polvo","27/02/2021"
"Star Trek: Discovery: Temporada 3: Minha Esperança é Você, Parte 2","23/01/2021"
"Star Trek: Discovery: Temporada 3: Há uma Maré...","15/01/2021"
"Star Trek: Discovery: Temporada 3: Su'kal","10/01/2021"
"The Netflix Afterparty: Temporada 1: Cobra Kai","08/01/2021"
"Cobra Kai: Temporada 3: 19 de dezembro","08/01/2021"
"Cobra Kai: Temporada 3: Natal","06/01/2021"
"Cobra Kai: Temporada 3: O bom, o ruim e o fera","05/01/2021"
"Cobra Kai: Temporada 3: Obstáculos","05/01/2021"
"Cobra Kai: Temporada 3: Rei Cobra","05/01/2021"
"Cobra Kai: Temporada 3: Miyagi-Do","04/01/2021"
"Cobra Kai: Temporada 3: O caminho certo","03/01/2021"
"Cobra Kai: Temporada 3: Vai ter que pagar","03/01/2021"
"Cobra Kai: Temporada 3: Treinamento ou dom inato?","03/01/2021"
"Cobra Kai: Temporada 3: Consequências","03/01/2021"
"Jornada nas estrelas: Temporada 1: A cidade à beira da eternidade","02/01/2021"
"Star Trek: Discovery: Temporada 3: Terra Firme Parte 2","02/01/2021"
"Vidas ao Vento","28/12/2020"
"Jornada nas Estrelas: A nova geração: Temporada 5: Unificação, Parte I","26/12/2020"
"Star Trek: Discovery: Temporada 3: Terra Firme Parte 1","26/12/2020"
"Star Trek: Discovery: Temporada 3: O Santuário","11/12/2020"
"De Volta para o Futuro","10/12/2020"
"Cobra Kai: Temporada 2: Sem compaixão","06/12/2020"
"Jornada nas Estrelas: A nova geração: Temporada 5: Uma Questão de Tempo","06/12/2020"
"Star Trek: Discovery: Temporada 3: Unificação III","05/12/2020"
"Cobra Kai: Temporada 2: Polvo","04/12/2020"
"Jornada nas Estrelas: A nova geração: Temporada 5: Unificação, Parte II","04/12/2020"
"Cobra Kai: Temporada 2: A vez do amor","04/12/2020"
"Cobra Kai: Temporada 2: Trégua","04/12/2020"
"Cobra Kai: Temporada 2: Vire à direita","03/12/2020"
"Cobra Kai: Temporada 2: Vai com tudo","03/12/2020"
"Cobra Kai: Temporada 2: Momento da verdade","03/12/2020"
"Cobra Kai: Temporada 2: Fogo e gelo","02/12/2020"
"Cobra Kai: Temporada 2: Em busca do equilíbrio","28/11/2020"
"Cobra Kai: Temporada 2: Compaixão – Parte 2","27/11/2020"
"Star Trek: Enterprise: Temporada 1: Sombras de P'Jem","27/11/2020"
"Star Trek: Discovery: Temporada 3: Piratas","27/11/2020"
"Cobra Kai: Temporada 1: Compaixão – Parte 1","26/11/2020"
"Cobra Kai: Temporada 1: Diferentes, mas iguais","26/11/2020"
"Cobra Kai: Temporada 1: Transformação","25/11/2020"
"Cobra Kai: Temporada 1: A competição","24/11/2020"
"Cobra Kai: Temporada 1: Alunos novos","24/11/2020"
"Cobra Kai: Temporada 1: Contrapeso","24/11/2020"
"Cobra Kai: Temporada 1: Cobra Kai para sempre","23/11/2020"
"Cobra Kai: Temporada 1: Esqueleto","23/11/2020"
"Cobra Kai: Temporada 1: Acerte primeiro","23/11/2020"
"Cobra Kai: Temporada 1: Degenerado","22/11/2020"
"Challenger: Voo Final: Minissérie: Socorro!","21/11/2020"
"Challenger: Voo Final: Minissérie: O espaço para todos","21/11/2020"
"Star Trek: Discovery: Temporada 3: Morrer Tentando","20/11/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 3: Equilíbrio","13/11/2020"
"Star Trek: Discovery: Temporada 3: Não Me Esqueça","13/11/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 1: Dax","01/11/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 1: O Emissário","30/10/2020"
"Star Trek: Discovery: Temporada 3: Povo da Terra","30/10/2020"
"Star Trek: Discovery: Temporada 3: Longe de Casa","24/10/2020"
"Star Trek: Enterprise: Temporada 4: Tempestade temporal - parte 1","21/10/2020"
"Star Trek: Enterprise: Temporada 3: Hora zero","21/10/2020"
"Jornada nas estrelas: Temporada 2: Missão: Terra","21/10/2020"
"Star Trek: Discovery: Temporada 3: Minha Esperança é Você, Parte 1","18/10/2020"
"Aggretsuko: Temporada 3: Contarei até dez","06/09/2020"
"Aggretsuko: Temporada 3: Hora de decidir","06/09/2020"
"Aggretsuko: Temporada 3: Fim do sonho?","05/09/2020"
"Aggretsuko: Temporada 3: Uma barreira impenetrável","04/09/2020"
"Aggretsuko: Temporada 3: Encruzilhada","04/09/2020"
"Aggretsuko: Temporada 3: Um ouriço-do-mar no deserto","04/09/2020"
"Aggretsuko: Temporada 3: Mudanças","03/09/2020"
"Aggretsuko: Temporada 3: Gentileza","03/09/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 6: Muito além das estrelas","26/08/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 6: Quem chora por Morn?","26/08/2020"
"Jornada nas estrelas: Temporada 1: A licença","21/08/2020"
"Star Trek: Enterprise: Temporada 1: Onda de choque - parte 1","16/08/2020"
"Star Trek: Enterprise: Temporada 1: Dois dias e duas noites","16/08/2020"
"Jornada nas Estrelas: A nova geração: Temporada 4: Qupido","14/08/2020"
"Jornada nas Estrelas: A nova geração: Temporada 3: Homem de Lata","14/08/2020"
"Jornada nas Estrelas: A nova geração: Temporada 3: As Férias do Capitão","14/08/2020"
"Jornada nas Estrelas: A nova geração: Temporada 1: O Último Guardião","14/08/2020"
"Star Trek – A Série Animada: Temporada 1: Spock ao infinito","13/08/2020"
"Star Trek – A Série Animada: Temporada 1: O sobrevivente","13/08/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Batata-doce refogada","13/08/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Fondue chinês","09/08/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Omuraisu","09/08/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Tonteki","09/08/2020"
"Jornada nas Estrelas: A nova geração: Temporada 7: Subalternos","05/08/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Presunto empanado","04/08/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Umeboshi e vinho de ameixa","04/08/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Tamago","26/07/2020"
"Midnight Diner: Tokyo Stories: Temporada 2: Asinhas de frango fritas","26/07/2020"
"Midnight Diner: Tokyo Stories: Temporada 2: Bolinhas de arroz","26/07/2020"
"Bebês em Foco: Parte 2: O que os bebês sabem","19/07/2020"
"Midnight Diner: Tokyo Stories: Temporada 2: Peito de frango frito com queijo","03/07/2020"
"Arremesso Final: Temporada 1: Episódio 9","28/06/2020"
"Coisa Mais Linda: Temporada 2: Só as Mulheres","28/06/2020"
"Coisa Mais Linda: Temporada 1: As sonhadoras","28/06/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Macarrão no Réveillon, de novo","27/06/2020"
"Midnight Diner: Tokyo Stories: Temporada 2: Kitsune udon","27/06/2020"
"Midnight Diner: Tokyo Stories: Temporada 2: Salmão e cogumelos","27/06/2020"
"Midnight Diner: Tokyo Stories: Temporada 2: Omelete enrolado doce","27/06/2020"
"Freud: Temporada 1: Histeria","15/06/2020"
"Arremesso Final: Temporada 1: Episódio 8","15/06/2020"
"Arremesso Final: Temporada 1: Episódio 7","15/06/2020"
"Sherlock: Temporada 3: A abominável noiva","15/06/2020"
"Midnight Diner: Tokyo Stories: Temporada 2: Macarrão com curry","15/06/2020"
"Indiana Jones e a Última Cruzada","14/06/2020"
"Arremesso Final: Temporada 1: Episódio 6","14/06/2020"
"Arremesso Final: Temporada 1: Episódio 5","13/06/2020"
"Arremesso Final: Temporada 1: Episódio 4","23/05/2020"
"Star Trek: Voyager: Temporada 5: Imagem latente","10/05/2020"
"Uma Segunda Chance: Temporada 1: A vida é cheia de surpresas","04/05/2020"
"Scott Pilgrim contra o mundo","04/05/2020"
"Arremesso Final: Temporada 1: Episódio 3","01/05/2020"
"Star Trek: Voyager: Temporada 6: Coletividade","25/04/2020"
"Star Trek: Voyager: Temporada 6: Os espíritos","25/04/2020"
"Arremesso Final: Temporada 1: Episódio 1","25/04/2020"
"Arremesso Final: Temporada 1: Episódio 2","25/04/2020"
"Jornada nas estrelas: Temporada 1: O equilíbrio do terror","18/04/2020"
"Jornada nas estrelas: Temporada 3: Síndrome do paraíso","18/04/2020"
"Jornada nas Estrelas: A nova geração: Temporada 2: O Valor de um Homem","17/02/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 7: Inter Arma Enim Silent Leges","08/02/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 6: Ele e ela","06/02/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 6: A qualquer preço","06/02/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 7: Sombras e símbolos","05/02/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 7: Imagem na areia","05/02/2020"
"Jornada nas Estrelas: A nova geração: Temporada 3: Caçado","04/02/2020"
"Jornada nas Estrelas: A nova geração: Temporada 3: O Desertor","04/02/2020"
"Jornada nas Estrelas: A nova geração: Temporada 6: A Face do Inimigo","03/02/2020"
"Jornada nas Estrelas: A nova geração: Temporada 7: Fantasmas","02/02/2020"
"Jornada nas Estrelas: A nova geração: Temporada 7: O Golpe Parte II","02/02/2020"
"Jornada nas Estrelas: A nova geração: Temporada 7: O Golpe Parte I","02/02/2020"
"Jornada nas estrelas: Temporada 3: O incidente Enterprise","01/02/2020"
"Jornada nas Estrelas: A nova geração: Temporada 7: Paralelos","28/01/2020"
