Data,Turno,Mandante,Placar do Mandante,Placar do Visitante,Visitante,Estádio,Horário,Gols do Mandante,Gols do Visitante,Público,Árbitro,Renda (R$)
14/04/2018,1,Cruzeiro,0,1,Grêmio,"Estádio Mineirão, Belo Horizonte",16:00,,54' André,15446, PR Rodolpho Toski Marques,418305.0
14/04/2018,1,Vitória,2,2,Flamengo,"Estádio Barradão, Salvador",19:00,Yago 13' (pen) Denílson 76',1' Lucas Paquetá 72' Réver,12669, MT Wagner Reway,238994.0
14/04/2018,1,Santos,2,0,Ceará,"Estádio do Pacaembu, São Paulo",21:00,Pio 41' Rodrygo 49',,12268, SC Rodrigo D'Alonso Ferreira,526550.0
15/04/2018,1,América Mineiro,3,0,Sport,"Estádio Independência, Belo Horizonte",11:00,"Serginho 1', 40' Carlinhos 36'",,3230, DF Sávio Pereira Sampaio,36293.0
15/04/2018,1,Internacional,2,0,Bahia,"Estádio Beira-Rio, Porto Alegre",16:00,"Nico López 37', 60'",,18460, GO Eduardo Tomaz de Aquino Valadão,796275.0
15/04/2018,1,Vasco da Gama,2,1,Atlético Mineiro,"Estádio São Januário, Rio de Janeiro",16:00,Wagner 85' Yago Pikachu 90+8' (pen),12' Otero,6349, GO André Luiz de Freitas Castro,176600.0
15/04/2018,1,Corinthians,2,1,Fluminense,"Arena Corinthians, São Paulo",16:00,"Rodriguinho 45', 85'",49' Richard,28777, RS Anderson Daronco,1372018.07
15/04/2018,1,Atlético Paranaense,5,1,Chapecoense,"Arena da Baixada, Curitiba",19:00,Pablo 51' Nikão 58' Thiago Carleto 67' Matheus Rossetto 87' Éderson 90+2',47' Wellington Paulista,8395, PA Dewson Fernando Freitas da Silva,130015.0
16/04/2018,1,Botafogo,1,1,Palmeiras,"Estádio Engenhão, Rio de Janeiro",20:00,Igor Rabello 82',54' Guerra,7020, MG Ricardo Marques Ribeiro,207880.0
16/04/2018,1,São Paulo,1,0,Paraná,"Estádio do Morumbi, São Paulo",20:00,Bruno Alves 37',,11327, SC Bráulio da Silva Machado,338295.0
21/04/2018,1,Bahia,1,0,Santos,"Arena Fonte Nova, Salvador",16:00,Júnior Brumado 90+3',,15558, SE Cláudio Francisco,317748.0
21/04/2018,1,Flamengo,2,0,América Mineiro,"Estádio do Maracanã, Rio de Janeiro",19:00,"Henrique Dourado 28', 35' (pen)",,47175, SP Leandro Bizzio Marinho,1641395.0
22/04/2018,1,Paraná,0,4,Corinthians,"Estádio Vila Capanema, Curitiba",11:00,,25' Rodriguinho 26' Sidcley 79' Clayson 85' Gabriel,15714, PE Péricles Bassols,632120.0
22/04/2018,1,Atlético Mineiro,2,1,Vitória,"Estádio Independência, Belo Horizonte",16:00,Ricardo Oliveira 19' Róger Guedes 72',86' Gabriel,10423, RJ Grazianni Maciel Rocha,128294.0
22/04/2018,1,Fluminense,1,0,Cruzeiro,"Estádio do Maracanã, Rio de Janeiro",16:00,Pedro 48',,8671, SP Flávio Rodrigues de Souza,263145.0
